hour,month,average_power_for_condo,min_power_for_condo,max_power_for_condo,power
4,11,127.676,79.626,172.452,115.25
5,11,127.676,79.626,172.452,145.245
6,11,127.676,79.626,172.452,154.01
7,11,127.676,79.626,172.452,159.23
8,11,127.676,79.626,172.452,161.91
9,11,127.676,79.626,172.452,161.98
10,11,127.676,79.626,172.452,167.165
11,11,127.676,79.626,172.452,167.855
12,11,127.676,79.626,172.452,166.39
13,11,127.676,79.626,172.452,163.495
14,11,127.676,79.626,172.452,164.225
15,11,127.676,79.626,172.452,156.4
16,11,127.676,79.626,172.452,155.61
17,11,127.676,79.626,172.452,158.58
18,11,127.676,79.626,172.452,160.69
19,11,127.676,79.626,172.452,158.17
20,11,127.676,79.626,172.452,154.835
21,11,127.676,79.626,172.452,149.56
22,11,127.676,79.626,172.452,142.67
23,11,127.676,79.626,172.452,131.945
0,12,127.676,79.626,172.452,128.987
1,12,127.676,79.626,172.452,123.91
2,12,127.676,79.626,172.452,121.43
3,12,127.676,79.626,172.452,119.67
4,12,127.676,79.626,172.452,122.65
5,12,127.676,79.626,172.452,152.78
6,12,127.676,79.626,172.452,158.724
7,12,127.676,79.626,172.452,164.02
8,12,127.676,79.626,172.452,168.84
9,12,127.676,79.626,172.452,168.11
10,12,127.676,79.626,172.452,170.56
11,12,127.676,79.626,172.452,168.39
12,12,127.676,79.626,172.452,170.913
13,12,127.676,79.626,172.452,168.76
14,12,127.676,79.626,172.452,167.82
15,12,127.676,79.626,172.452,162.32
16,12,127.676,79.626,172.452,162.32
17,12,127.676,79.626,172.452,167.11
18,12,127.676,79.626,172.452,169.11
19,12,127.676,79.626,172.452,164.68
20,12,127.676,79.626,172.452,162.61
21,12,127.676,79.626,172.452,157.68
22,12,127.676,79.626,172.452,150.21
23,12,127.676,79.626,172.452,139.72
